ensemble_size,log_radius_bins,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_change,one_sided_95_upper_bound,minimum_worthwhile_improvement,diminishing_returns_pass
40,500,32768,65536,1200.0,ensemble_mean_l1,0.015408653281421242,0.011308372396029734,0.004100280885391508,0.009636539808588458,0.01,True
40,500,32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,0.0026887332704738586,-0.0005276838825100827,0.0032164171529839415,0.00576764470647259,0.01,True
40,500,32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00739538720665594,-0.0031429873798204722,0.004252399826835469,0.012250151216521768,0.01,False
40,500,32768,65536,1800.0,ensemble_mean_l1,0.017445218810517363,0.013318040029272863,0.0041271787812445,0.00873502982906536,0.01,True
40,500,32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,0.0031314312473334077,-0.0008297851358353952,0.003961216383168803,0.0065898768345968705,0.01,True
40,500,32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0076978164751835745,-0.004456462608265701,0.003241353866917873,0.013143851948033119,0.01,False
40,500,32768,65536,2400.0,ensemble_mean_l1,0.016687649455753767,0.013315589434888144,0.003372060020865623,0.009265218224629663,0.01,True
40,500,32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,0.003287625477014311,-0.0012572038444840171,0.004544829321498328,0.007518838652522349,0.01,True
40,500,32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.015528022884931676,-0.004130766921260518,0.011397255963671159,0.02202425472760049,0.01,False
40,500,32768,65536,3000.0,ensemble_mean_l1,0.020573627886877614,0.012169296137586983,0.00840433174929063,0.014181168015369526,0.01,False
40,500,32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,0.0029930667947293934,-0.0013957646983148025,0.004388831493044196,0.007201026022856186,0.01,True
40,500,32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.02249307971873487,-0.004597095733328746,0.017895983985406122,0.032895649215448526,0.01,False
40,500,32768,65536,3600.0,ensemble_mean_l1,0.02383215109816364,0.01666897247630448,0.007163178621859161,0.015427344760464201,0.01,False
40,500,32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,0.002430675947166705,-0.001492409089088706,0.003923085036255411,0.006808547490648712,0.01,True
40,500,32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.020379346144741295,-0.0058871201685512745,0.01449222597619002,0.03437065138588285,0.01,False
40,500,65536,131072,600.0,ensemble_mean_l1,0.0109188977529697,0.007550314240090322,0.0033685835128793784,0.0071146055021707,0.01,True
40,500,65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,-0.0007844888775560444,-0.000838534907063615,5.4046029507570626e-05,0.001809150573926544,0.01,True
40,500,65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.002423054231127575,-0.002612763008946406,0.00018970877781883085,0.005350999796494134,0.01,True
40,500,65536,131072,1200.0,ensemble_mean_l1,0.011308372396029734,0.007944900208762123,0.0033634721872676104,0.006730924809125946,0.01,True
40,500,65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,-0.0005276838825100827,-0.0010440192489345134,0.0005163353664244307,0.0025962631142785286,0.01,True
40,500,65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0031429873798204722,-0.000848585388253395,0.0022944019915670773,0.008578182464704215,0.01,True
40,500,65536,131072,1800.0,ensemble_mean_l1,0.013318040029272863,0.010864042604661393,0.0024539974246114704,0.006151022632780035,0.01,True
40,500,65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0008297851358353952,-0.0014571029240750156,0.0006273177882396203,0.002982246510091679,0.01,True
40,500,65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.004456462608265701,-0.0009986904152228166,0.0034577721930428846,0.009877991456362617,0.01,True
40,500,65536,131072,2400.0,ensemble_mean_l1,0.013315589434888144,0.008577370609506635,0.004738218825381509,0.00796466261610939,0.01,True
40,500,65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0012572038444840171,-0.0016214434934580801,0.000364239648974063,0.003022370596713099,0.01,True
